[B|CAS|1|20200219|1246540]
[R|CAS|124|130000500000|State Assembly Member District 50|DP]
[R|CAS|125|130000510000|State Assembly Member District 51|DP]
[R|CAS|126|130000520000|State Assembly Member District 52|DP]
[R|CAS|127|130000530000|State Assembly Member District 53|DP]
[R|CAS|128|130000540000|State Assembly Member District 54|DP]
[R|CAS|129|130000550000|State Assembly Member District 55|DP]
[R|CAS|130|130000560000|State Assembly Member District 56|DP]
[R|CAS|131|130000570000|State Assembly Member District 57|DP]
[R|CAS|132|130000580000|State Assembly Member District 58|DP]
[R|CAS|133|130000590000|State Assembly Member District 59|DP]
[R|CAS|134|130000600000|State Assembly Member District 60|DP]
[R|CAS|135|130000610000|State Assembly Member District 61|DP]
[R|CAS|136|130000620000|State Assembly Member District 62|DP]
[R|CAS|137|130000630000|State Assembly Member District 63|DP]
[R|CAS|138|130000640000|State Assembly Member District 64|DP]
[R|CAS|139|130000650000|State Assembly Member District 65|DP]
[R|CAS|140|130000660000|State Assembly Member District 66|DP]
[R|CAS|141|130000670000|State Assembly Member District 67|DP]
[R|CAS|142|130000680000|State Assembly Member District 68|DP]
[R|CAS|143|130000690000|State Assembly Member District 69|DP]
[R|CAS|144|130000700000|State Assembly Member District 70|DP]
[R|CAS|145|130000710000|State Assembly Member District 71|DP]
[R|CAS|146|130000720000|State Assembly Member District 72|DP]
[R|CAS|147|130000730000|State Assembly Member District 73|DP]
[R|CAS|148|130000740000|State Assembly Member District 74|DP]
[R|CAS|149|130000750000|State Assembly Member District 75|DP]
[R|CAS|150|130000760000|State Assembly Member District 76|DP]
[R|CAS|151|130000770000|State Assembly Member District 77|DP]
[R|CAS|152|130000780000|State Assembly Member District 78|DP]
[R|CAS|153|130000790000|State Assembly Member District 79|DP]
[R|CAS|154|130000800000|State Assembly Member District 80|DP]
[R|CAS|155|190000000013|Bonds to Fund Public Education Facilities.|DP]
[E|CAS|156|20200224|1008390]
